p-value	q-value	centers_names	centers_geneids	radius	members_input_overlap	members_input_overlap_geneids	size	effective_size	set_sources
2.49037240939e-05	0.0411569414971	PPP1R14A	94274	2	LAMA1; IFIH1; ADAM23; POLR2M; GRM5; DUSP22; DPP6	64135; 2915; 8745; 284217; 81488; 56940; 1804	774	772	BIND; BioCarta; Biogrid; CORUM; DIP; EHMN; HPRD; HumanCyc; INOH; InnateDB; IntAct; MINT; Manual upload; NetPath; PDB; PID; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
2.73293551371e-05	0.0411569414971	GRIN3B : glutamate ionotropic receptor NMDA type subunit 3B	116444	2	GRM5; DAB1; SHANK2; ADAM23	8745; 1600; 2915; 22941	148	147	BIND; BioCarta; Biogrid; CORUM; DIP; HPRD; IntAct; MINT; MIPS-MPPI; Manual upload; PDB; PDZBase; PID; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
3.44952138614e-05	0.0411569414971	GRIN3A : glutamate ionotropic receptor NMDA type subunit 3A	116443	2	GRM5; DAB1; SHANK2; ADAM23	8745; 1600; 2915; 22941	157	156	BIND; BioCarta; Biogrid; CORUM; DIP; HPRD; IntAct; MINT; MIPS-MPPI; Manual upload; PDB; PDZBase; PID; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
3.7974010716e-05	0.0411569414971	q5rkt7_human	6233	2	LAMA1; IL27RA; DUSP22; CNTN5; POLR2M; KHNYN; DAB1; SHANK2	22941; 53942; 23351; 9466; 284217; 1600; 81488; 56940	1151	1148	BIND; BioCarta; Biogrid; CORUM; DIP; EHMN; HPRD; HumanCyc; INOH; InnateDB; IntAct; KEGG; MINT; Manual upload; NetPath; PDB; PDZBase; PID; PINdb; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
4.05711465365e-05	0.0411569414971	GPI-LSAMP	4045	2	LAMA1; ADAM23; CNTN5; KHNYN; DUSP22; SHANK2; DPP6	22941; 8745; 53942; 23351; 284217; 56940; 1804	840	833	BioCarta; Biogrid; CORUM; DIP; EHMN; HPRD; HumanCyc; InnateDB; IntAct; KEGG; MINT; Manual upload; NetPath; PDB; PID; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
5.10479314637e-05	0.0411569414971	HCST	10870	2	KHNYN; TFR2; IL27RA; DUSP22; CNTN5	53942; 23351; 7036; 9466; 56940	349	347	BIND; Biogrid; CORUM; HPRD; InnateDB; IntAct; MINT; PDB; PID; Reactome; Spike
6.1808037236e-05	0.0411569414971	PrPsc; ZBED3	84327	2	LAMA1; ADAM23; DPP6	1804; 8745; 284217	64	64	BioCarta; Biogrid; HPRD; InnateDB; Spike
6.51667218483e-05	0.0411569414971	ADAM23	8745	2	LAMA1; ADAM23; GRM5; DAB1; SHANK2; DPP6	22941; 8745; 2915; 284217; 1600; 1804	605	605	BIND; BioCarta; Biogrid; CORUM; DIP; HPRD; HumanCyc; InnateDB; IntAct; MINT; MIPS-MPPI; Manual upload; MatrixDB; NetPath; PDB; PDZBase; PID; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
6.82123084042e-05	0.0411569414971	GTP-binding protein 7	92170	2	SDR39U1; LAMA1; ADAM23; POLR2M; GRM5; DPP6	8745; 2915; 284217; 81488; 56948; 1804	611	610	BIND; BioCarta; Biogrid; CORUM; EHMN; HPRD; INOH; InnateDB; IntAct; KEGG; MINT; Reactome; Spike
6.99234480074e-05	0.0411569414971	cc149_human	91050	2	POLR2M; LAMA1; DPP6; ADAM23	284217; 8745; 1804; 81488	188	187	BIND; BioCarta; Biogrid; CORUM; HPRD; InnateDB; IntAct; MINT; Manual upload; PDB; PID; PhosphoPOINT; PhosphoSitePlus; Reactome; Spike
