p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.68407869904e-05	0.0017620643967	GO:0031226	c	3	intrinsic component of plasma membrane	1804; 2915; 3802; 5310; 7036; 8745; 53942; 22941; 9466	TFR2; PKD1; IL27RA; KIR2DL1; ADAM23; CNTN5; GRM5; SHANK2; DPP6	1712	1708
0.000282177151576	0.00479701157679	GO:0005887	c	4	integral component of plasma membrane	1804; 2915; 3802; 5310; 7036; 8745; 22941; 9466	TFR2; PKD1; IL27RA; KIR2DL1; ADAM23; GRM5; SHANK2; DPP6	1635	1631
0.000613092585293	0.0220713330706	GO:0044459	c	2	plasma membrane part	1804; 2915; 3802; 5310; 7036; 8745; 81488; 53942; 22941; 9466	TFR2; PKD1; IL27RA; KIR2DL1; ADAM23; CNTN5; POLR2M; GRM5; SHANK2; DPP6	2876	2870
0.000994441439522	0.00298332431857	GO:0003899	m	5	DNA-directed 5,-3, RNA polymerase activity	55703; 81488	POLR2M; POLR3B	42	41
0.00114486882263	0.0137384258716	GO:0097747	m	3	RNA polymerase activity	55703; 81488	POLR2M; POLR3B	45	44
0.00114486882263	0.0103038194037	GO:0034062	m	4	5,-3, RNA polymerase activity	55703; 81488	POLR2M; POLR3B	45	44
0.00130330200948	0.0234594361706	GO:0097060	c	2	synaptic membrane	2915; 8745; 53942; 22941	GRM5; SHANK2; ADAM23; CNTN5	430	430
0.00147638471129	0.164306974074	GO:0032608	b	4	interferon-beta production	55703; 64135	IFIH1; POLR3B	50	50
0.00377738041769	0.142540609244	GO:0007155	b	2	cell adhesion	1600; 5310; 8745; 53942; 284217; 56940	LAMA1; PKD1; ADAM23; CNTN5; DAB1; DUSP22	1389	1387
0.00419986767407	0.0303851226037	GO:0098889	c	3	intrinsic component of presynaptic membrane	8745; 53942	ADAM23; CNTN5	85	85
0.00475894178032	0.0227476426807	GO:0034702	c	4	ion channel complex	1804; 5310; 22941	PKD1; SHANK2; DPP6	303	303
0.00479759744605	0.164306974074	GO:0007215	b	4	glutamate receptor signaling pathway	2915; 22941	GRM5; SHANK2	92	91
0.00490082949198	0.0227476426807	GO:0060170	c	4	ciliary membrane	5310; 22941	PKD1; SHANK2	94	92
0.00543232716939	0.0303851226037	GO:0005903	c	3	brush border	1600; 22941	DAB1; SHANK2	97	97
0.00544326789411	0.0303851226037	GO:0014069	c	3	postsynaptic density	1600; 2915; 22941	GRM5; DAB1; SHANK2	319	318
0.00563527515424	0.0303851226037	GO:0032279	c	3	asymmetric synapse	1600; 2915; 22941	GRM5; DAB1; SHANK2	323	322
0.00588099147168	0.0303851226037	GO:1902495	c	3	transmembrane transporter complex	1804; 5310; 22941	PKD1; SHANK2; DPP6	327	327
0.00610357010406	0.164306974074	GO:0021510	b	4	spinal cord development	1600; 5310	DAB1; PKD1	103	103
0.00611419114747	0.154068560504	GO:0030155	b	3	regulation of cell adhesion	1600; 5310; 284217; 56940	LAMA1; DAB1; PKD1; DUSP22	661	660
0.00615714879642	0.164306974074	GO:0050776	b	4	regulation of immune response	3802; 55703; 9466; 56940; 64135	KIR2DL1; IL27RA; POLR3B; DUSP22; IFIH1	1067	1066
0.00628743785848	0.0471386858921	GO:1990351	c	2	transporter complex	1804; 5310; 22941	PKD1; SHANK2; DPP6	335	335
0.00657111214163	0.0227476426807	GO:0055029	c	4	nuclear DNA-directed RNA polymerase complex	55703; 81488	POLR2M; POLR3B	109	107
0.00665663335416	0.0471386858921	GO:0098984	c	2	neuron to neuron synapse	1600; 2915; 22941	GRM5; DAB1; SHANK2	343	342
0.00665663335416	0.0471386858921	GO:0099572	c	2	postsynaptic specialization	1600; 2915; 22941	GRM5; DAB1; SHANK2	343	342
0.00669048314138	0.0227476426807	GO:0000428	c	4	DNA-directed RNA polymerase complex	55703; 81488	POLR2M; POLR3B	110	108
0.00688967317638	0.154068560504	GO:0032879	b	3	regulation of localization	1804; 2915; 7036; 83593; 284217; 22941; 56940; 64135	LAMA1; TFR2; RASSF5; IFIH1; GRM5; DUSP22; SHANK2; DPP6	2663	2659
0.00705452598048	0.0312414721993	GO:0030880	c	3	RNA polymerase complex	55703; 81488	POLR2M; POLR3B	113	111
0.00742741739305	0.150163192624	GO:0032479	b	5	regulation of type I interferon production	55703; 64135	IFIH1; POLR3B	114	114
0.00755367064779	0.154068560504	GO:0032606	b	3	type I interferon production	55703; 64135	IFIH1; POLR3B	115	115
0.00949836401658	0.0471386858921	GO:0098590	c	2	plasma membrane region	2915; 5310; 8745; 53942; 22941	GRM5; PKD1; SHANK2; ADAM23; CNTN5	1185	1183
0.00953820165537	0.154068560504	GO:0050808	b	3	synapse organization	2915; 53942; 22941	GRM5; SHANK2; CNTN5	391	390
0.0098472919301	0.154068560504	GO:0030010	b	3	establishment of cell polarity	5310; 284217	LAMA1; PKD1	132	132
0.00999075366059	0.164306974074	GO:0048565	b	4	digestive tract development	1600; 5310	DAB1; PKD1	133	133
